,x,y,area,excentricidad,semieje_menor,semieje_mayor,azul,verde,rojo
338,2053,1765,34.0,0.0,7.211102485656738,7.211102485656738,10,15,48
339,2056,3332,98.5,0.8310303264330084,8.693808555603027,15.629961967468262,77,81,105
340,2066,164,217.0,0.9664768234329013,10.100706100463867,39.34003448486328,76,86,93
341,2049,242,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,83,84,105
342,2046,260,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,57,58,92
343,2045,2569,34.0,0.0,7.211102485656738,7.211102485656738,0,0,23
344,2042,772,34.0,0.0,7.211102485656738,7.211102485656738,54,81,115
345,2040,632,34.0,0.0,7.211102485656738,7.211102485656738,79,89,99
346,2036,3091,12.0,0.9128709301470818,2.8577380180358887,7.0,74,96,107
347,2031,1634,88.0,0.6045434593279082,10.115744590759277,12.69909381866455,19,18,50
348,2030,134,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,38,33,54
349,2031,3330,70.0,0.7385489561917191,9.025217056274414,13.386560440063477,84,83,99
350,2028,3249,49.0,0.7006401578855999,7.090209007263184,9.937017440795898,88,95,115
351,2028,331,44.0,0.4999999214107285,7.4833149909973145,8.640987396240234,19,14,46
352,2030,113,88.5,0.8310162077391234,8.365379333496094,15.038932800292969,76,120,133
353,2018,3266,34.0,0.0,7.211102485656738,7.211102485656738,42,44,132
354,2020,3248,52.0,0.6123725092032348,8.162413597106934,10.324728012084961,76,71,103
355,2018,152,34.0,0.0,7.211102485656738,7.211102485656738,73,92,107
356,2020,403,123.0,0.6793454685094065,11.253863334655762,15.336029052734375,24,29,38
357,2017,176,34.0,0.0,7.211102485656738,7.211102485656738,79,83,94
358,2019,122,243.5,0.9891950456492236,9.787233352661133,66.75899505615234,62,79,98
359,2019,241,135.0,0.5167393901372452,13.110542297363281,15.31350040435791,41,64,86
360,2016,2978,70.0,0.5964261343918191,9.234119415283203,11.50428295135498,23,10,26
361,2015,298,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,19,3,34
362,2014,273,88.0,0.8017837267823511,9.816167831420898,16.42559051513672,49,71,89
363,2013,292,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,56,79,101
364,2014,218,76.5,0.4948892017072244,10.323894500732422,11.8808012008667,59,52,73
365,2013,285,47.0,0.0,8.602325439453125,8.602325439453125,47,70,92
366,2015,3329,76.0,0.763762613353113,9.296056747436523,14.401389122009277,80,82,106
367,2010,399,34.0,0.0,7.211102485656738,7.211102485656738,73,88,104
368,2023,446,751.0,0.7371903775892099,26.651498794555664,39.443668365478516,3,11,18
369,2011,306,75.5,0.6324797546995576,9.748291015625,12.585310935974121,65,76,106
370,2007,475,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,0,76,99
371,2006,115,62.0,0.0,10.0,10.0,77,127,133
372,2004,1350,34.0,0.0,7.211102485656738,7.211102485656738,74,99,115
373,2003,619,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,40,71,102
374,2006,243,75.5,0.8767803762126551,7.677552223205566,15.965264320373535,69,85,108
375,2001,122,34.0,0.0,7.211102485656738,7.211102485656738,23,27,51
376,1999,729,58.0,0.4914877359112912,8.7610502243042,10.059945106506348,38,46,76
377,1998,415,82.0,0.591060488238383,10.310172080993652,12.781829833984375,22,17,44
378,1997,806,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,81,100,121
379,1995,133,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,73,124,134
380,1994,126,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,75,101,125
381,1995,2807,807.5,0.9968231428189954,10.502995491027832,131.8695526123047,82,85,100
382,1992,979,70.5,0.5634089275180174,9.246476173400879,11.191866874694824,22,36,78
383,1991,379,34.0,0.0,7.211102485656738,7.211102485656738,24,19,16
384,1991,340,34.0,0.0,7.211102485656738,7.211102485656738,8,4,23
385,2005,3087,264.0,0.9626967677551872,10.403382301330566,38.44808578491211,73,77,95
386,1989,158,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,69,66,88
387,1999,680,701.0,0.6433835814881762,26.50226402282715,34.618865966796875,1,19,18
388,1988,3247,70.0,0.9134063929702366,6.707340240478516,16.47797393798828,61,64,108
