,x,y,area,excentricidad,semieje_menor,semieje_mayor,azul,verde,rojo,clase
2868,464,47,319.0,0.9934369397553268,7.662707805633545,66.99275207519531,112,118,129,0
2869,441,2642,34.0,0.0,7.211102485656738,7.211102485656738,89,109,134,0
2870,443,1535,73.5,0.8479397199002414,7.640507698059082,14.413532257080078,0,80,112,0
2871,441,2653,60.0,0.6923701399121739,7.902201175689697,10.95181655883789,29,60,105,0
2872,442,2130,78.5,0.6361355180367098,9.307238578796388,12.062612533569336,7,107,155,0
2873,441,1093,57.5,0.7330951718676464,7.793810844421387,11.459362030029297,77,105,122,0
2874,439,2664,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,57,75,106,0
2875,440,1171,48.5,0.4690857277777928,8.4537935256958,9.572290420532228,94,112,135,0
2876,438,2047,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,0,53,109,0
2877,434,999,4.0,0.7071068131563781,2.1213202476501465,3.0,21,138,159,0
2878,435,2749,34.0,0.0,7.211102485656738,7.211102485656738,88,117,138,0
2879,433,1012,4.0,0.7071068131563781,2.1213202476501465,3.0,21,137,154,0
2880,435,2375,51.0,0.5191496722744712,8.057394981384277,9.427345275878906,25,81,128,0
2881,434,2124,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,0,88,137,0
2882,435,1570,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,82,123,146,0
2883,434,2797,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,91,108,127,0
2884,434,2019,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,24,76,99,0
2885,455,122,306.0,0.9943448784703256,7.190279483795166,67.70561218261719,95,111,123,0
2886,432,3234,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,70,84,120,0
2887,433,2812,102.5,0.90723777726415,8.123979568481445,19.314382553100582,10,4,27,0
2888,433,3018,88.5,0.6874101493980956,9.460416793823242,13.026042938232422,35,81,135,0
2889,440,195,136.0,0.8790490677129122,11.67164421081543,24.482646942138672,127,127,139,0
2890,431,34,34.0,0.0,7.211102485656738,7.211102485656738,107,110,124,0
2891,430,2995,34.0,0.0,7.211102485656738,7.211102485656738,61,116,153,0
2892,430,2252,34.0,0.0,7.211102485656738,7.211102485656738,76,99,121,0
2893,433,1070,541.0,0.995178496370526,9.172103881835938,93.51619720458984,37,68,93,0
2894,427,1110,2.0,0.0,0.0,0.0,113,143,160,0
2895,430,559,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,100,114,132,0
2896,429,70,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,85,106,128,0
2897,428,76,34.0,0.0,7.211102485656738,7.211102485656738,71,100,121,0
2898,431,3072,120.5,0.5388624562150234,12.069931983947754,14.32813549041748,51,71,119,1
2899,427,2909,34.0,0.0,7.211102485656738,7.211102485656738,44,88,111,0
2900,427,2735,34.0,0.0,7.211102485656738,7.211102485656738,32,55,100,0
2901,438,956,595.5,0.9627959428910124,17.040746688842773,63.060279846191406,0,70,105,0
2902,433,971,0.5,0.0,0.0,0.0,0,116,161,0
2903,431,47,103.5,0.7122502705518549,9.932509422302246,14.150373458862305,108,120,130,0
2904,426,2932,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,55,75,100,0
2905,427,87,66.5,0.5936370624935173,9.254842758178713,11.50051498413086,74,105,126,0
2906,426,2800,73.5,0.7738565617344431,8.678789138793945,13.702754974365234,32,57,99,0
2907,427,2408,80.0,0.4945443656860672,10.11946964263916,11.64291763305664,23,50,94,0
2908,425,2383,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,12,9,11,0
2909,423,1170,6.0,0.8164965882550608,2.309401035308838,4.0,97,115,138,0
2910,425,135,52.0,0.6123725092032348,8.162413597106934,10.32472801208496,105,106,120,0
2911,428,1857,132.5,0.7233710644717624,12.3331937789917,17.8622989654541,65,115,145,0
2912,424,3033,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,107,120,136,0
2913,426,917,143.5,0.7571552943540409,12.546186447143556,19.206239700317383,0,106,151,0
2914,427,2875,163.5,0.6913725410801328,13.657811164855955,18.90358543395996,59,113,143,0
2915,421,2061,34.0,0.0,7.211102485656738,7.211102485656738,0,68,110,0
2916,421,938,34.0,0.0,7.211102485656738,7.211102485656738,0,93,125,0
2917,420,2350,64.5,0.7691431136117589,8.008194923400879,12.530884742736816,53,101,143,0
2918,420,2290,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,46,91,135,0
2919,419,775,34.0,0.0,7.211102485656738,7.211102485656738,73,115,150,0
2920,421,630,16.0,0.9354143427225764,3.181980609893799,9.0,123,152,149,0
2921,421,3110,73.0,0.7824403579824489,8.123101234436035,13.044432640075684,91,104,120,0
2922,420,2514,93.0,0.2502603746361066,12.011504173278809,12.406290054321287,13,65,112,0
2923,416,955,34.0,0.0,7.211102485656738,7.211102485656738,0,71,118,0
2924,415,3219,34.0,0.0,7.211102485656738,7.211102485656738,104,102,114,0
2925,420,2047,148.0,0.7308500921357931,11.94440746307373,17.499988555908203,0,50,115,0
2926,414,3233,34.0,0.0,7.211102485656738,7.211102485656738,84,95,122,0
2927,417,2330,83.0,0.8206203007952073,8.38728141784668,14.676580429077148,78,113,133,0
2928,410,2148,34.0,0.0,7.211102485656738,7.211102485656738,7,107,155,0
2929,412,2134,71.0,0.6075278259001483,9.396173477172852,11.8295259475708,0,49,102,0
2930,417,2109,437.5,0.8036067309549215,19.45013236999512,32.68047332763672,14,140,174,0
2931,412,776,72.5,0.493187887990365,9.862835884094238,11.33759880065918,40,102,142,0
2932,411,2798,69.5,0.8492310792263805,7.673168659210205,14.531928062438965,71,89,126,0
2933,408,1060,65.0,0.6734978012948047,8.51703929901123,11.522136688232422,56,112,153,0
2934,407,861,52.0,0.6123725092032348,8.162413597106934,10.32472801208496,84,111,132,0
2935,409,938,186.5,0.4930655280312354,15.302900314331056,17.589698791503906,0,90,124,0
2936,403,3110,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,106,116,133,0
2937,404,2284,68.5,0.6127423405702428,8.77873420715332,11.108345985412598,13,73,132,0
2938,401,410,34.0,0.0,7.211102485656738,7.211102485656738,117,126,146,0
2939,401,1306,70.0,0.5964261343918191,9.234119415283203,11.50428295135498,49,85,133,0
2940,398,862,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,103,124,145,0
2941,403,785,162.5,0.8177266160445259,11.818503379821776,20.532251358032227,80,100,125,0
2942,396,483,34.0,0.0,7.211102485656738,7.211102485656738,120,119,139,0
2943,395,1245,59.5,0.5172016556677703,8.896585464477539,10.394864082336426,52,79,113,0
2944,394,2984,58.5,0.6568138212576119,8.235857963562012,10.922123908996582,23,30,73,0
2945,393,2328,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,94,121,142,0
2946,393,2225,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,46,104,146,0
2947,391,558,50.0,0.6254302800066871,7.545398235321045,9.67011547088623,102,113,127,0
2948,405,46,242.0,0.9842788893760958,8.086817741394043,45.78620910644531,109,113,132,0
2949,398,337,155.0,0.9647014070474836,8.065979957580566,30.628812789916992,123,123,141,0
2950,388,1091,52.0,0.6123725092032348,8.162413597106934,10.32472801208496,58,109,135,0
2951,385,1168,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,48,76,110,0
2952,406,121,332.0,0.9845892003398646,10.24970245361328,58.60887145996094,108,121,135,0
2953,382,1839,79.0,0.8164388392437265,8.414877891540527,14.572935104370115,64,108,145,0
2954,378,2955,2.0,0.0,0.0,0.0,140,154,160,0
2955,548,2961,3296.0,0.9891641496701452,42.77762222290039,291.37335205078125,85,111,135,0
2956,382,1525,127.0,0.7996554338158612,10.23891258239746,17.05180549621582,27,85,120,0
2957,380,1857,58.0,0.6666666128177567,8.459052085876465,11.349008560180664,76,100,122,0
2958,378,707,51.5,0.5990228402800175,7.933736801147461,9.908105850219728,117,120,134,0
2959,377,1090,58.0,0.6666666128177567,8.459052085876465,11.349008560180664,47,111,141,0
2960,373,784,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,109,122,136,0
2961,373,557,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,103,116,130,0
2962,374,937,70.0,0.7385489561917191,9.025217056274414,13.386560440063477,47,101,131,0
2963,397,188,574.5,0.9379657980839146,19.48150062561035,56.18672943115234,110,140,151,0
2964,374,3185,87.5,0.9087419010217272,7.7648186683654785,18.604671478271484,86,114,131,0
2965,370,3108,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,123,128,143,0
2966,372,860,87.0,0.8597426123292161,8.109320640563965,15.87797737121582,83,90,115,0
2967,368,2887,59.5,0.5172016556677703,8.896585464477539,10.394864082336426,24,30,73,0
2968,372,120,93.0,0.8894490863549606,8.137528419494629,17.805072784423828,122,128,147,0
2969,368,54,71.5,0.834140857983622,7.53215217590332,13.656299591064451,65,94,115,0
2970,368,336,52.0,0.6123725092032348,8.162413597106934,10.32472801208496,111,121,138,0
2971,366,1087,79.5,0.7757694340171405,8.815935134887695,13.971006393432615,25,63,87,0
2972,366,557,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,117,127,145,0
2973,366,1109,85.0,0.6961608935389798,9.31097412109375,12.969993591308594,0,39,71,0
2974,364,937,51.5,0.5990228402800175,7.933736801147461,9.908105850219728,49,98,120,0
2975,365,409,52.0,0.6123725092032348,8.162413597106934,10.32472801208496,106,121,137,0
2976,363,311,34.0,0.0,7.211102485656738,7.211102485656738,88,119,140,0
2977,362,2075,34.0,0.0,7.211102485656738,7.211102485656738,0,79,126,0
2978,366,1818,114.5,0.9129731492297894,8.500643730163574,20.833908081054688,29,110,148,0
2979,363,189,102.0,0.8662286009866806,8.47818660736084,16.96832275390625,77,114,148,0
2980,361,783,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,108,119,139,0
2981,359,1797,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,46,83,121,0
2982,358,336,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,126,127,137,0
2983,357,13,70.0,0.7385489561917191,9.025217056274414,13.386560440063477,96,105,119,0
2984,354,63,34.0,0.0,7.211102485656738,7.211102485656738,103,109,120,0
2985,355,1411,30.0,0.8722805312886261,5.356295108795166,10.953438758850098,85,78,115,0
2986,353,1090,34.0,0.0,7.211102485656738,7.211102485656738,92,121,136,0
2987,353,75,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,109,106,115,0
2988,351,110,52.0,0.6123725092032348,8.162413597106934,10.32472801208496,105,109,127,0
2989,351,98,59.5,0.5247639565273744,8.928594589233398,10.488831520080566,77,94,113,0
2990,351,1152,114.0,0.7271693135472852,10.830799102783203,15.777799606323242,43,77,120,0
2991,349,146,52.0,0.6123725092032348,8.162413597106934,10.32472801208496,74,91,104,0
2992,349,136,64.0,0.707106816115585,8.746427536010742,12.369317054748535,104,105,119,0
2993,351,2898,720.0,0.993356383094998,11.891213417053224,103.33118438720705,104,118,140,0
2994,348,1167,34.0,0.0,7.211102485656738,7.211102485656738,99,118,133,0
2995,348,783,34.0,0.0,7.211102485656738,7.211102485656738,93,112,125,0
2996,385,2086,1698.0,0.5481812930477783,49.574462890625,59.27410507202149,0,89,124,0
2997,388,2082,0.0,0.0,0.0,0.0,0,123,163,0
2998,347,160,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,113,120,139,0
2999,358,1040,601.5,0.6424314624624559,26.42812728881836,34.48602294921875,25,48,80,0
3000,359,1049,0.0,0.0,0.0,0.0,63,130,163,0
3001,346,706,52.5,0.4318096654096945,8.56677532196045,9.497904777526855,98,107,121,0
3002,343,214,34.0,0.0,7.211102485656738,7.211102485656738,102,104,114,0
3003,343,2714,52.0,0.6123725092032348,8.162413597106934,10.32472801208496,110,112,142,0
3004,341,1282,34.0,0.0,7.211102485656738,7.211102485656738,85,112,139,0
3005,342,1245,57.0,0.5888454234366315,8.36839771270752,10.353779792785645,82,103,124,0
3006,339,2943,30.5,0.5452247462240802,6.281563758850098,7.493307113647461,72,97,113,0
3007,340,1632,79.0,0.5508529924420691,9.858319282531738,11.811996459960938,42,72,119,0
3008,342,179,151.5,0.2821206375978143,21.87385368347168,22.80001449584961,130,156,170,0
3009,337,2084,22.0,0.7136147889285654,5.005087375640869,7.144630432128906,0,87,136,0
3010,336,916,34.0,0.0,7.211102485656738,7.211102485656738,60,111,151,0
3011,337,813,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,73,85,119,0
3012,333,1856,51.5,0.5990227759485796,7.933737277984619,9.908105850219728,86,120,143,0
3013,331,2097,20.0,0.8659572819376401,4.016628742218018,8.031362533569336,0,67,118,0
3014,332,336,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,113,125,143,0
3015,330,353,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,99,112,138,0
3016,345,119,246.5,0.9815759485474268,8.648263931274414,45.261714935302734,109,119,129,0
3017,330,1504,70.5,0.3148218921150844,9.818928718566896,10.344962120056152,80,122,145,0
3018,329,1323,50.0,0.6254302800066871,7.545398235321045,9.67011547088623,50,72,100,0
3019,335,1937,288.0,0.7807805371126461,16.078426361083984,25.733495712280277,11,37,77,0
3020,330,1201,90.0,0.5750532568493538,10.660662651062012,13.030747413635254,42,77,110,0
3021,328,922,59.5,0.5247639565273744,8.928594589233398,10.488831520080566,30,66,114,0
3022,325,2092,22.5,0.8098547743090847,4.566147327423096,7.783686637878418,12,107,147,0
3023,326,2001,34.0,0.0,7.211102485656738,7.211102485656738,14,74,116,0
3024,327,1621,52.5,0.4318096654096945,8.56677532196045,9.497904777526855,116,132,145,0
3025,326,409,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,119,124,139,0
3026,325,1696,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,85,107,125,0
3027,321,3183,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,130,130,146,0
3028,319,1755,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,82,105,121,0
3029,316,1854,34.0,0.0,7.211102485656738,7.211102485656738,79,99,124,0
3030,317,1829,68.0,0.8313330819511567,7.605208873748779,13.683982849121094,81,107,124,0
3031,318,349,97.0,0.6608495596335479,10.236907958984377,13.639782905578612,32,108,144,0
3032,315,2148,52.5,0.4318096654096945,8.56677532196045,9.497904777526855,0,61,119,0
3033,322,484,165.0,0.7241786279143964,15.96438694000244,23.14979553222656,136,152,169,0
3034,312,894,34.0,0.0,7.211102485656738,7.211102485656738,27,55,102,0
3035,312,706,34.0,0.0,7.211102485656738,7.211102485656738,92,111,132,0
3036,313,557,66.0,0.5817905852475481,9.037525177001951,11.111639022827148,106,122,134,0
3037,311,1930,63.5,0.6569409008189435,8.656471252441406,11.481613159179688,84,133,147,0
3038,312,1885,78.5,0.6769650804484578,9.177858352661133,12.469659805297852,113,133,134,0
3039,309,621,34.0,0.0,7.211102485656738,7.211102485656738,53,62,89,0
3040,317,337,151.0,0.9075232464476344,9.73189640045166,23.17107963562012,68,121,148,0
3041,308,986,34.0,0.0,7.211102485656738,7.211102485656738,70,117,149,0
3042,315,120,149.0,0.8956779622424665,10.421369552612305,23.43443489074707,112,127,143,0
3043,307,1215,59.5,0.5172016556677703,8.896585464477539,10.394864082336426,57,84,118,0
3044,305,2089,34.0,0.0,7.211102485656738,7.211102485656738,34,109,135,0
3045,313,1956,605.0,0.641412511706182,25.28476333618164,32.95736312866211,5,22,43,0
3046,306,1740,105.5,0.7114780438851505,10.369270324707031,14.75615119934082,28,63,113,0
3047,303,1579,34.0,0.0,7.211102485656738,7.211102485656738,45,64,101,0
3048,303,1527,34.0,0.0,7.211102485656738,7.211102485656738,124,139,155,0
3049,303,11,34.0,0.0,7.211102485656738,7.211102485656738,80,78,98,0
